no_plate,color,company_name,model_year,vehicle_type,date_stolen,district_name,No_Police_Areas,month,vehicle_age
4U818,SILVER,HOMEBUILT,2016,TRAILER,2023-12-13,Waikato,3,December,8
NPE425,BLUE,NISSAN,2006,CAR,2023-12-13,Waikato,3,December,18
CFG875,GREY,BMW,2004,CAR,2023-12-14,Waikato,3,December,20
C9AAG,WHITE,CFMOTO,2020,MOTORCYCLE,2023-12-14,Waikato,3,December,4
47H93,SILVER,HOMEBUILT,2019,TRAILER,2023-12-15,Waikato,3,December,5
7026W,SILVER,KEA,2001,TRAILER,2023-12-15,Waikato,3,December,23
ZH7335,WHITE,FORD,2000,UTILITY TRUCK,2023-12-16,Waikato,3,December,24
BYC445,SILVER,TOYOTA,2004,UTILITY TRUCK,2023-12-16,Waikato,3,December,20
UM6759,GREEN,MITSUBISHI,1996,UTILITY TRUCK,2023-12-16,Waikato,3,December,28
KAL447,SILVER,TOYOTA,2007,CAR,2023-12-16,Waikato,3,December,17
MHE800,BLUE,NISSAN,2008,CAR,2023-12-16,Waikato,3,December,16
DAZ287,GOLD,NISSAN,2005,CAR,2023-12-17,Waikato,3,December,19
80HCR/HCR80,WHITE,MAZDA,2007,CAR,2023-12-17,Waikato,3,December,17
YA7926,SILVER,MAZDA,1999,CAR,2023-12-18,Waikato,3,December,25
5475B,BLUE,HOMEBUILT,1996,TRAILER,2023-12-18,Waikato,3,December,28
5S903,SILVER,FACTORY BUILT,2016,TRAILER,2023-12-18,Waikato,3,December,8
OL9073,BLACK,MAZDA,1989,UTILITY TRUCK,2023-12-20,Waikato,3,December,35
9U700,SILVER,TITAN,2018,TRAILER,2023-12-20,Waikato,3,December,6
M250Y,GREY,HOMEBUILT,2008,TRAILER,2023-12-20,Waikato,3,December,16
CPG815,SILVER,FORD,2005,CAR,2023-12-20,Waikato,3,December,19
WP4954,WHITE,TOYOTA,1987,UTILITY TRUCK,2023-12-21,Waikato,3,December,37
2625C,SILVER,HOMEBUILT,1996,TRAILER,2023-12-21,Waikato,3,December,28
Z355N,GREY,FACTORY BUILT,2014,TRAILER,2023-12-21,Waikato,3,December,10
KZP982,BLUE,RENAULT,2009,CAR,2023-12-22,Waikato,3,December,15
719L9,GREY,HOMEBUILT,2023,TRAILER,2023-12-22,Waikato,3,December,1
93WFD,RED,FACTORY BUILT,2004,MOTORCYCLE,2023-12-25,Waikato,3,December,20
ZW5736,WHITE,MAZDA,2001,UTILITY TRUCK,2023-12-26,Waikato,3,December,23
680B8,SILVER,HOMEBUILT,2023,TRAILER,2023-12-27,Waikato,3,December,1
DLC566,RED,HOLDEN,2006,CAR,2023-12-27,Waikato,3,December,18
83L81,WHITE,HOMEBUILT,2021,TRAILER,2023-12-29,Waikato,3,December,3
GCB941,BLUE,SUBARU,2003,CAR,2023-12-29,Waikato,3,December,21
GWR137,SILVER,HOLDEN,2008,UTILITY TRUCK,2024-01-01,Waikato,3,January,16
14QLX,BROWN,HOMEBUILT,1987,TRAILER,2024-01-01,Waikato,3,January,37
MQD932,SILVER,HONDA,2004,CAR,2024-01-01,Waikato,3,January,20
43E39,SILVER,HOMEBUILT,2019,TRAILER,2024-01-02,Waikato,3,January,5
